"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_1_TR_6"	"CEC3672_1_FP_24"	"CEC3672_2_FP_6"	"CEC3609_1_TR_24"	"NI_1_TR_3"	"NI_2_TR_3"	"CEC3672_1_TR_6"	"CEC3672_3_TR_24"	"CEC3609_2_FP_3"	"NI_1_TR_24"	"CEC3609_1_FP_6"	"NI_3_TR_3"	"CEC3672_2_FP_3"	"CEC3672_3_FP_24"	"CEC3609_3_FP_6"	"CEC3609_2_FP_24"	"CEC3609_1_TR_3"	"CEC3609_3_FP_24"	"CEC3609_2_TR_3"	"CEC3672_1_FP_3"	"CEC3672_2_TR_6"	"CEC3672_1_FP_6"	"CEC3672_3_FP_6"	"CEC3672_3_FP_3"	"CEC3609_3_TR_3"	"CEC3672_2_TR_24"	"CEC3609_1_FP_24"	"NI_2_TR_6"	"CEC3672_3_TR_3"	"CEC3609_2_TR_24"	"CEC3609_2_TR_6"	"NI_2_TR_24"	"CEC3609_2_FP_6"	"NI_1_TR_6"	"CEC3672_2_TR_3"	"CEC3672_1_TR_24"	"CEC3609_1_FP_3"	"CEC3672_2_FP_24"	"CEC3672_1_TR_3"	"CEC3609_3_TR_6"	"NI_3_TR_24"	"CEC3609_3_FP_3"	"CEC3609_3_TR_24"	"CEC3672_3_TR_6"
"C1_00110W_A"	"Ca22chr1A_C_albicans_SC5314"	17338	18960	"+"	1623	"C1_00110W_A"	"CCT8"	"%28orf19.6099%29%20Chaperonin-containing%20T-complex%20subunit%3B%20role%20in%20hyphal%20morphogenesis%2C%20particularly%20starvation-induced%3B%20essential%3B%20expression%20in%20S.%20cerevisiae%20inhibits%20Ras2-mediated%20pathways%3B%20CCT8%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed"	1829	2095	2418	2050	0	0	2752	2771	2531	0	2162	0	2799	2178	2040	1531	3345	1783	3319	2650	3060	2588	2395	2571	3316	4545	1817	0	2442	2054	2182	0	1879	0	2783	2424	3198	2150	2535	1968	0	2747	1942	2867
"C1_00120C_A"	"Ca22chr1A_C_albicans_SC5314"	18948	19628	"-"	681	"C1_00120C_A"	"TRP1"	"%28orf19.6096%29%20Phosphoribosylanthranilate%20isomerase%3B%20tryptophan%20biosynthesis%3B%20expected%20unifunctional%2C%20unlike%20trifunctional%20enzyme%20of%20some%20other%20fungi%3B%20complements%20E.%20coli%20trpC%2C%20S.%20cerevisiae%20trp1%20mutant%3B%20CCT1%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed"	413	477	693	501	0	0	738	636	595	0	466	0	719	576	474	380	930	483	861	646	837	597	531	686	843	1056	386	0	681	433	545	0	404	0	817	604	778	469	683	452	0	681	448	656
"C1_00130C_A"	"Ca22chr1A_C_albicans_SC5314"	19615	21714	"-"	2100	"C1_00130C_A"	"VPS53"	"%28orf19.6094%29%20Ortholog%28s%29%20have%20role%20in%20Golgi%20to%20vacuole%20transport%2C%20cellular%20sphingolipid%20homeostasis%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20GARP%20complex%20localization"	588	832	921	615	0	0	897	988	641	0	842	0	977	893	792	563	951	682	981	874	919	889	761	912	880	1585	705	0	824	652	720	0	714	0	1063	788	812	769	871	646	0	791	544	940
"C1_00140W_A"	"Ca22chr1A_C_albicans_SC5314"	22270	25326	"+"	3057	"C1_00140W_A"	"KEL1"	"%28orf19.6092%29%20Kelch%20repeat%20domain-containing%20protein%3B%20localizes%20to%20sites%20of%20polarized%20growth%3B%20mutant%20colonies%20exhibit%20slightly%20decreased%20filamentation%20ratio%3B%20not%20required%20for%20buccal%20epithelial%20cell%20adherence%20or%20virulence%20in%20mice"	1581	1489	1566	1160	0	0	1879	1678	1627	0	1609	0	1779	1415	1561	1159	2048	1388	2047	1692	2003	1496	1541	1634	2018	2619	1259	0	1950	1241	1638	0	1478	0	2084	1489	1925	1449	1667	1610	0	1923	1131	1847
"C1_00150C_A"	"Ca22chr1A_C_albicans_SC5314"	25381	27249	"-"	1869	"C1_00150C_A"	"RIM8"	"%28orf19.6091%29%20Beta-arrestin-like%20protein%3B%20involved%20in%20pH%20response%3B%20required%20for%20pathogenesis%2C%20activation%20of%20Rim101%20and%20alkaline%20pH-induced%20hyphal%20growth%3B%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p%20negative%20feedback%20regulation%20target"	994	718	525	644	0	0	782	634	303	0	859	0	423	722	878	638	579	700	554	379	811	613	519	394	530	1057	945	0	644	765	973	0	874	0	625	542	336	718	531	1071	0	333	654	765
"C1_00160C_A"	"Ca22chr1A_C_albicans_SC5314"	28286	29488	"-"	1203	"C1_00160C_A"	NA	"%28orf19.6090%29%20Putative%20nucleolar%20protein%20with%20a%20predicted%20role%20in%20pre-rRNA%20processing%20and%20ribosome%20biogenesis%3B%20repressed%20by%20nitric%20oxide%3B%20required%20for%20flow%20model%20biofilm%20formation%3B%20Spider%20biofilm%20repressed"	5830	7088	5675	5945	0	0	6661	9009	7569	0	4156	1	5238	7305	4170	5684	10551	6729	9606	5322	7362	5749	6116	4226	8249	13869	6283	0	4767	6262	6176	0	4776	0	5084	8141	8979	7074	4945	6444	0	7906	5658	7390
"C1_00170W_A"	"Ca22chr1A_C_albicans_SC5314"	29804	31543	"+"	1740	"C1_00170W_A"	"LEU4"	"%28orf19.6086%29%20Putative%202-isopropylmalate%20synthase%3B%20regulated%20by%20Nrg1%2C%20Mig1%2C%20Tup1%2C%20Gcn4%3B%20induced%20by%20human%20whole%20blood%20or%20PMNs%3B%20macrophage%2Fpseudohyphal-repressed%20after%2016h%3B%20Spider%20biofilm%20repressed"	145	524	376	758	0	0	375	956	238	0	118	0	261	491	105	414	1336	452	1158	330	303	395	410	298	1187	1552	451	0	376	580	124	0	121	0	465	795	240	448	341	142	0	245	705	354
"C1_00180W_A"	"Ca22chr1A_C_albicans_SC5314"	31842	32444	"+"	603	"C1_00180W_A"	"RPL16A"	"%28orf19.6085%29%20Ribosomal%20protein%3B%20transposon%20mutation%20affects%20filamentous%20growth%3B%20repressed%20upon%20phagocytosis%20by%20murine%20macrophages%3B%20Hap43-induced%3B%20Spider%20biofilm%20repressed"	14016	17264	19812	12773	2	1	21170	19877	24036	1	12552	0	19536	16911	12762	10910	24568	12156	23358	18908	21831	19199	20391	17066	21387	30549	11191	0	19720	12480	14679	0	15517	0	19467	17866	27133	15852	17339	15671	0	27042	12503	20954
"C1_00190C_A"	"Ca22chr1A_C_albicans_SC5314"	32680	33318	"-"	639	"C1_00190C_A"	NA	"%28orf19.6084%29%20Protein%20of%20unknown%20function%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced"	3509	1582	985	2182	0	0	1695	1232	48	0	4253	0	562	1526	3857	2563	99	2396	96	398	1789	1483	970	462	81	1955	2327	0	1016	2209	3718	0	3104	0	1087	1217	38	1467	1009	3995	0	81	2089	1311
"C1_00200C_A"	"Ca22chr1A_C_albicans_SC5314"	34099	34446	"-"	348	"C1_00200C_A"	NA	"%28orf19.6083%29%20Has%20domain%28s%29%20with%20predicted%20nucleic%20acid%20binding%2C%20nucleotide%20binding%20activity"	270	164	227	224	0	0	274	159	108	0	299	0	161	190	323	216	121	241	145	131	292	263	224	136	126	309	224	0	225	201	305	0	289	0	198	189	86	158	219	314	0	112	223	219
"C1_00210C_A"	"Ca22chr1A_C_albicans_SC5314"	34525	35679	"-"	1155	"C1_00210C_A"	NA	"%28orf19.6082%29%20Ortholog%28s%29%20have%20unfolded%20protein%20binding%20activity%2C%20role%20in%20protein%20folding%2C%20protein%20localization%20to%20cell%20surface%20and%20integral%20component%20of%20endoplasmic%20reticulum%20membrane%20localization"	2115	2095	2352	1749	0	0	2756	2340	3612	0	2024	0	2805	1916	1961	1697	4710	1841	4528	2799	2914	2504	2289	2738	4139	3650	1860	0	2838	1845	2396	0	2016	0	3249	2089	4224	1984	2733	2411	0	4181	1712	2828
"C1_00220W_A"	"Ca22chr1A_C_albicans_SC5314"	37851	39485	"+"	1635	"C1_00220W_A"	"PHR2"	"%28orf19.6081%29%20Glycosidase%3B%20role%20in%20vaginal%20not%20systemic%20infection%20%28low%20pH%20not%20neutral%29%3B%20low%20pH%2C%20high%20iron%2C%20fluconazole%2C%20Hap43-induced%3B%20Rim101-repressed%20at%20pH8%3B%20rat%20catheter%20biofilm%20induced%3B%20Bcr1-repressed%20in%20RPMI%20a%2Fa%20biofilms"	2005	811	909	1332	0	0	2456	1187	1570	0	878	0	1591	766	931	928	3609	1094	3736	1477	2667	895	949	1558	3280	1897	1197	0	2852	1471	2312	0	918	0	3016	1120	1914	740	2680	2205	0	1750	1365	2728
"C1_00230C_A"	"Ca22chr1A_C_albicans_SC5314"	40484	41770	"-"	1287	"C1_00230C_A"	"BFA1"	"%28orf19.6080%29%20Ortholog%28s%29%20have%20GDP-dissociation%20inhibitor%20activity%2C%20GTPase%20activator%20activity%2C%20role%20in%20mitotic%20spindle%20orientation%20checkpoint%20and%20Bfa1-Bub2%20complex%20localization"	901	1072	776	749	0	0	1001	970	506	0	956	0	745	1082	843	852	711	1034	700	729	1015	831	759	729	638	1489	1031	0	907	923	867	0	918	0	857	763	567	1060	771	981	0	575	621	1003
"C1_00240C_A"	"Ca22chr1A_C_albicans_SC5314"	42100	42172	"-"	73	"C1_00240C_A"	"tT%28AGU%296"	"%28tT%28AGU%296%29%20tRNA-Thr%2C%20predicted%20by%20tRNAscan-SE%3B%20AGU%20anticodon"	1	0	1	3	0	0	2	2	0	0	5	0	0	1	1	5	5	3	1	2	3	0	3	1	2	3	1	0	0	3	2	0	0	0	0	0	0	0	1	2	0	0	1	0
"C1_00270W_A"	"Ca22chr1A_C_albicans_SC5314"	42605	43504	"+"	900	"C1_00270W_A"	NA	"%28orf19.6079%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Gag%20region%20encoding%20nucleocapsid-like%20protein%3B%20repressed%20by%20ciclopirox%20olamine%3B%20filament%20induced%3B%20regulated%20by%20Rfg1%2C%20Tup1%3B%20overlaps%20orf19.6078.1"	80	49	94	200	0	0	78	64	131	0	139	0	165	27	168	108	341	83	285	201	75	127	100	147	411	112	98	0	134	168	171	0	141	0	170	59	149	40	162	91	0	158	219	110
"C1_00280C_A"	"Ca22chr1A_C_albicans_SC5314"	43549	43679	"-"	131	"C1_00280C_A"	"RFC52"	"%28orf19.6078.1%29%20Putative%20replication%20factor%20C%20complex%20protein%3B%20periodic%20mRNA%20expression%2C%20peak%20at%20cell-cycle%20G1%2FS%20phase%3B%20overlaps%20orf19.6079"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1_00290W_A"	"Ca22chr1A_C_albicans_SC5314"	43803	45764	"+"	1962	"C1_00290W_A"	"POL93"	"%28orf19.6078%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Pol%20region%20of%20retrotransposons%20encoding%20reverse%20transcriptase%2C%20protease%20and%20integrase%3B%20downregulated%20in%20response%20to%20ciclopirox%20olamine%3B%20F-12%2FCO2%20early%20biofilm%20induced"	1681	591	1753	3422	0	0	2137	945	1823	0	2699	0	2499	605	2293	1975	4905	1449	4462	2511	1932	2316	1926	2402	5656	1504	1514	0	2889	2567	2458	0	2180	0	2689	843	2051	640	2228	1963	0	2130	4397	2095
"C1_00310W_A"	"Ca22chr1A_C_albicans_SC5314"	46803	48359	"+"	1557	"C1_00310W_A"	NA	"%28orf19.6077%29%20Putative%20protein%20of%20unknown%20function%3B%20shows%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p"	991	803	1147	831	0	0	1073	1143	505	0	1574	0	985	767	1584	875	800	774	770	936	1224	1326	1097	928	765	1818	832	0	917	832	1271	0	1267	0	1044	999	611	849	953	1127	0	556	998	1035
"C1_00320W_A"	"Ca22chr1A_C_albicans_SC5314"	48513	49298	"+"	786	"C1_00320W_A"	NA	"%28orf19.6076%29%20Ortholog%28s%29%20have%20protein%20transporter%20activity%2C%20role%20in%20intracellular%20protein%20transport%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20endosome%2C%20retromer%2C%20cargo-selective%20complex%20localization"	203	363	396	236	0	0	432	432	268	0	304	0	423	368	321	208	334	240	320	424	472	402	381	395	284	600	179	0	379	207	203	0	299	0	401	433	358	319	385	199	0	321	249	410
"C1_00330C_A"	"Ca22chr1A_C_albicans_SC5314"	49295	49843	"-"	549	"C1_00330C_A"	NA	"%28orf19.6075%29%20Putative%20CCR4-Not%20complex%20transcription%20factor%3B%20ortholog%20of%20S.%20cerevisiae%20Cdc36%3B%20Hap43-repressed%20gene"	426	511	461	676	0	0	439	603	406	0	512	0	436	549	592	685	518	659	449	453	524	496	464	467	410	884	610	0	454	625	476	0	506	0	406	534	468	456	400	475	0	480	807	387
"C1_00340W_A"	"Ca22chr1A_C_albicans_SC5314"	49997	50743	"+"	747	"C1_00340W_A"	"HBR1"	"%28orf19.6074%29%20Essential%20protein%20involved%20in%20regulation%20of%20MTL%20gene%20expression%3B%20hemoglobin-regulated%20inhibitor%20of%20white-opaque%20switching%2C%20may%20affect%20survival%20in%20host%3B%20activator%20of%20MTLalpha1%20and%20MTLalpha2%3B%20transcript%20activated%20by%20hemoglobin"	1224	1373	1217	1341	0	0	1395	1538	1251	0	1261	0	1263	1318	1117	1395	1595	1518	1598	1236	1469	1299	1270	1084	1343	2318	1466	0	1295	1462	1250	0	1298	0	1297	1482	1535	1289	1200	1245	0	1503	1324	1400
"C1_00350C_A"	"Ca22chr1A_C_albicans_SC5314"	50806	51681	"-"	876	"C1_00350C_A"	"HMX1"	"%28orf19.6073%29%20Heme%20oxygenase%3B%20utilization%20of%20hemin%20iron%3B%20transcript%20induced%20by%20heat%2C%20low%20iron%2C%20or%20hemin%3B%20repressed%20by%20Efg1%3B%20induced%20by%20low%20iron%3B%20upregulated%20by%20Rim101%20at%20pH%208%3B%20Hap43-induced%3B%20Spider%20and%20flow%20model%20biofilm%20induced"	14553	5960	5571	3971	0	0	10131	4588	5300	0	10941	0	5404	5600	10712	9001	9804	9453	9753	5511	10639	5493	5475	4527	8667	6864	9259	0	6855	4343	15739	0	8587	1	7429	4253	5961	5116	6884	14987	0	5604	3568	8920
"C1_00360W_A"	"Ca22chr1A_C_albicans_SC5314"	53099	54442	"+"	1344	"C1_00360W_A"	"CDC13"	"%28orf19.6072%29%20Essential%20protein%20with%20similarity%20to%20S.%20cerevisiae%20Cdc13p%2C%20involved%20in%20telomere%20maintenance"	259	314	374	294	0	0	385	411	305	0	276	0	422	312	267	382	386	378	376	424	368	402	408	366	369	687	404	0	367	252	241	0	282	0	343	375	313	317	337	269	0	344	250	414
"C1_00370W_A"	"Ca22chr1A_C_albicans_SC5314"	54558	54842	"+"	285	"C1_00370W_A"	NA	"%28orf19.6072.1%29%20Protein%20of%20unknown%20function"	118	95	115	118	0	0	100	86	72	0	153	0	87	113	153	144	98	117	73	91	112	100	116	77	65	158	138	0	94	94	109	0	127	0	89	105	67	104	90	120	0	106	100	108
"C1_00380C_A"	"Ca22chr1A_C_albicans_SC5314"	54837	57074	"-"	2238	"C1_00380C_A"	"NAA25"	"%28orf19.6071%29%20Ortholog%28s%29%20have%20peptide%20alpha-N-acetyltransferase%20activity%20and%20role%20in%20N-terminal%20peptidyl-methionine%20acetylation%2C%20cytoskeleton%20organization%2C%20mitochondrion%20inheritance%2C%20regulation%20of%20actin%20cytoskeleton%20organization"	1005	1503	960	1100	0	0	913	1209	654	0	953	0	930	1291	981	1332	817	1359	749	856	968	911	966	757	743	1937	1416	0	812	1251	908	0	1057	0	816	1159	727	1362	737	1090	0	761	1015	861
"C1_00390W_A"	"Ca22chr1A_C_albicans_SC5314"	59349	62552	"+"	3204	"C1_00390W_A"	"ENA2"	"%28orf19.6070%29%20Putative%20sodium%20transporter%3B%20induced%20by%20ciclopirox%20olamine%3B%20alkaline%20induced%20by%20Rim101%3B%20repressed%20by%20high-level%20peroxide%20stress%3B%20induced%20in%20oral%20candidiasis%20clinical%20isolates%3B%20possibly%20essential%20gene%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced"	6633	12960	6533	11849	0	1	3045	9230	1791	0	7912	0	4054	12011	7692	16686	1862	19121	1860	4271	3460	6078	5996	3674	1757	14795	21148	0	2453	14650	6466	0	8273	0	2929	7395	2247	13119	2663	7128	0	1932	9119	3489
"C1_00400W_A"	"Ca22chr1A_C_albicans_SC5314"	63202	64350	"+"	1149	"C1_00400W_A"	"SVF1"	"%28orf19.6068%29%20Putative%20survival%20factor%3B%20stationary%20phase%20enriched%20protein%3B%20fluconazole-induced%3B%20regulated%20by%20Gcn4p%3B%20repressed%20in%20response%20to%20amino%20acid%20starvation%20%283-AT%20treatment%29%3B%20fungal-specific%20%28no%20human%20or%20murine%20homolog%29"	3530	2595	2479	2440	0	0	3139	2847	3387	0	2762	0	2796	2428	2652	2445	5091	2581	4707	2564	3382	2424	2497	2430	4528	4492	2555	0	3381	2685	3831	0	2893	0	3474	2543	3810	2426	3172	3730	1	3907	2442	3214
"C1_00410C_A"	"Ca22chr1A_C_albicans_SC5314"	64696	66324	"-"	1629	"C1_00410C_A"	NA	"%28orf19.6066%29%20Hexadecenal%20dehydrogenase%3B%20involved%20in%20the%20conversion%20of%20sphingosine%201-phosphate%20breakdown%20product%20hexadecenal%20to%20hexadecenoic%20acid%3B%20Spider%20biofilm%20induced"	908	1505	737	1279	0	0	1085	1541	254	0	889	0	520	1303	884	1196	361	1063	311	504	1147	768	720	509	333	2504	996	0	629	1356	965	0	730	0	626	1432	267	1370	489	1023	0	316	1422	822
"C1_00420W_A"	"Ca22chr1A_C_albicans_SC5314"	67843	68814	"+"	972	"C1_00420W_A"	NA	"%28orf19.6065%29%20RNA%20polymerase%20II%20holoenzyme%2Fmediator%20subunit%3B%20regulated%20by%20Mig1%2C%20Tup1%3B%20amphotericin%20B%2C%20caspofungin%20repressed%3B%20protein%20present%20in%20exponential%20and%20stationary%20growth%20phase%20yeast%3B%20Hap43-repressed%3B%20Spider%20biofilm%20repressed"	1182	1541	929	1164	0	0	1129	1378	928	0	1251	0	1138	1347	1215	1452	1259	1459	1141	1111	1194	990	922	1076	1144	2036	1245	0	1436	1199	1301	0	1044	0	1312	1236	1019	1387	1089	1252	0	1165	1204	989
"C1_00430W_A"	"Ca22chr1A_C_albicans_SC5314"	69226	70902	"+"	1677	"C1_00430W_A"	NA	"%28orf19.6064%29%20Ortholog%28s%29%20have%20phosphatidylinositol-3%2C5-bisphosphate%20binding%2C%20phosphatidylinositol-3-phosphate%20binding%2C%20phosphatidylinositol-4-phosphate%20binding%2C%20ubiquitin%20binding%20activity"	1110	1371	784	1161	0	0	1026	1077	510	0	1241	0	718	1310	1233	1362	764	1612	748	698	966	878	747	749	736	1708	1570	0	903	1192	1174	0	1148	0	931	1006	577	1297	792	1150	0	657	1110	962
"C1_00440W_A"	"Ca22chr1A_C_albicans_SC5314"	71068	72581	"+"	1514	"C1_00440W_A"	"UBP6"	"%28orf19.6063%29%20Putative%20ubiquitin-specific%20protease%20of%20the%2026S%20proteasome%3B%20oxidative%20stress-induced%20via%20Cap1p"	1584	1696	1837	1881	0	0	2041	2155	2093	0	1936	0	2145	1743	1844	1683	2471	1591	2416	2044	2006	1945	1857	1837	2100	3106	1676	0	2027	1641	1700	0	2027	0	1954	1841	2250	1704	1780	1717	0	2269	1894	1897
"C1_00450C_A"	"Ca22chr1A_C_albicans_SC5314"	72741	73283	"-"	543	"C1_00450C_A"	NA	"%28orf19.6062.3%29%20Mitochondrial%20protein%3B%20component%20of%20the%20mitochondrial%20inner%20membrane%20organizing%20system%20%3B%20role%20in%20maintenance%20of%20crista%20junctions%20and%20inner%20membrane%20architecture%3B%20Spider%20biofilm%20repressed"	810	890	1010	863	0	0	1181	1108	622	0	751	0	986	874	752	680	674	704	660	976	1201	1062	1095	891	653	1779	654	0	1007	814	795	0	771	0	997	1034	627	852	904	753	0	681	838	1097
"C1_00460W_A"	"Ca22chr1A_C_albicans_SC5314"	73580	73900	"+"	321	"C1_00460W_A"	NA	"%28orf19.6062%29%20Putative%20TIM23%20translocase%20complex%20subunit%3B%20membrane-localized%3B%20Hap43-repressed"	1248	990	1041	1498	0	0	1088	1154	634	0	1660	0	1104	1076	1555	1536	876	1306	858	1047	1237	1164	1028	1071	764	1728	1411	0	1091	1311	1404	0	1461	0	1156	961	835	1039	1071	1420	1	747	1340	1121
