Geneid	Chr	Start	End	Strand	Length	Name	Gene	Note	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D9.bam
C1_00110W_A	Ca22chr1A_C_albicans_SC5314	17338	18960	+	1623	C1_00110W_A	CCT8	%28orf19.6099%29%20Chaperonin-containing%20T-complex%20subunit%3B%20role%20in%20hyphal%20morphogenesis%2C%20particularly%20starvation-induced%3B%20essential%3B%20expression%20in%20S.%20cerevisiae%20inhibits%20Ras2-mediated%20pathways%3B%20CCT8%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed	0	0	0	3345	3319	3316	2535	2783	2442	3198	2531	2747	2650	2799	2571	0	0	3316	1829	2182	1968	2752	3060	2867	2162	1879	2040	2588	2418	2395	0	0	0	2050	2054	1942	2424	4545	2771	1817	1531	1783	2095	2150	2178
C1_00120C_A	Ca22chr1A_C_albicans_SC5314	18948	19628	-	681	C1_00120C_A	TRP1	%28orf19.6096%29%20Phosphoribosylanthranilate%20isomerase%3B%20tryptophan%20biosynthesis%3B%20expected%20unifunctional%2C%20unlike%20trifunctional%20enzyme%20of%20some%20other%20fungi%3B%20complements%20E.%20coli%20trpC%2C%20S.%20cerevisiae%20trp1%20mutant%3B%20CCT1%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed	0	0	0	930	861	843	683	817	681	778	595	681	646	719	686	0	0	843	413	545	452	738	837	656	466	404	474	597	693	531	0	0	0	501	433	448	604	1056	636	386	380	483	477	469	576
C1_00130C_A	Ca22chr1A_C_albicans_SC5314	19615	21714	-	2100	C1_00130C_A	VPS53	%28orf19.6094%29%20Ortholog%28s%29%20have%20role%20in%20Golgi%20to%20vacuole%20transport%2C%20cellular%20sphingolipid%20homeostasis%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20GARP%20complex%20localization	0	0	0	951	981	880	871	1063	824	812	641	791	874	977	912	0	0	880	588	720	646	897	919	940	842	714	792	889	921	761	0	0	0	615	652	544	788	1585	988	705	563	682	832	769	893
C1_00140W_A	Ca22chr1A_C_albicans_SC5314	22270	25326	+	3057	C1_00140W_A	KEL1	%28orf19.6092%29%20Kelch%20repeat%20domain-containing%20protein%3B%20localizes%20to%20sites%20of%20polarized%20growth%3B%20mutant%20colonies%20exhibit%20slightly%20decreased%20filamentation%20ratio%3B%20not%20required%20for%20buccal%20epithelial%20cell%20adherence%20or%20virulence%20in%20mice	0	0	0	2048	2047	2018	1667	2084	1950	1925	1627	1923	1692	1779	1634	0	0	2018	1581	1638	1610	1879	2003	1847	1609	1478	1561	1496	1566	1541	0	0	0	1160	1241	1131	1489	2619	1678	1259	1159	1388	1489	1449	1415
C1_00150C_A	Ca22chr1A_C_albicans_SC5314	25381	27249	-	1869	C1_00150C_A	RIM8	%28orf19.6091%29%20Beta-arrestin-like%20protein%3B%20involved%20in%20pH%20response%3B%20required%20for%20pathogenesis%2C%20activation%20of%20Rim101%20and%20alkaline%20pH-induced%20hyphal%20growth%3B%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p%20negative%20feedback%20regulation%20target	0	0	0	579	554	530	531	625	644	336	303	333	379	423	394	0	0	530	994	973	1071	782	811	765	859	874	878	613	525	519	0	0	0	644	765	654	542	1057	634	945	638	700	718	718	722
C1_00160C_A	Ca22chr1A_C_albicans_SC5314	28286	29488	-	1203	C1_00160C_A	NA	%28orf19.6090%29%20Putative%20nucleolar%20protein%20with%20a%20predicted%20role%20in%20pre-rRNA%20processing%20and%20ribosome%20biogenesis%3B%20repressed%20by%20nitric%20oxide%3B%20required%20for%20flow%20model%20biofilm%20formation%3B%20Spider%20biofilm%20repressed	0	0	1	10551	9606	8249	4945	5084	4767	8979	7569	7906	5322	5238	4226	0	0	8249	5830	6176	6444	6661	7362	7390	4156	4776	4170	5749	5675	6116	0	0	0	5945	6262	5658	8141	13869	9009	6283	5684	6729	7088	7074	7305
C1_00170W_A	Ca22chr1A_C_albicans_SC5314	29804	31543	+	1740	C1_00170W_A	LEU4	%28orf19.6086%29%20Putative%202-isopropylmalate%20synthase%3B%20regulated%20by%20Nrg1%2C%20Mig1%2C%20Tup1%2C%20Gcn4%3B%20induced%20by%20human%20whole%20blood%20or%20PMNs%3B%20macrophage%2Fpseudohyphal-repressed%20after%2016h%3B%20Spider%20biofilm%20repressed	0	0	0	1336	1158	1187	341	465	376	240	238	245	330	261	298	0	0	1187	145	124	142	375	303	354	118	121	105	395	376	410	0	0	0	758	580	705	795	1552	956	451	414	452	524	448	491
C1_00180W_A	Ca22chr1A_C_albicans_SC5314	31842	32444	+	603	C1_00180W_A	RPL16A	%28orf19.6085%29%20Ribosomal%20protein%3B%20transposon%20mutation%20affects%20filamentous%20growth%3B%20repressed%20upon%20phagocytosis%20by%20murine%20macrophages%3B%20Hap43-induced%3B%20Spider%20biofilm%20repressed	2	1	0	24568	23358	21387	17339	19467	19720	27133	24036	27042	18908	19536	17066	0	0	21387	14016	14679	15671	21170	21831	20954	12552	15517	12762	19199	19812	20391	1	0	0	12773	12480	12503	17866	30549	19877	11191	10910	12156	17264	15852	16911
C1_00190C_A	Ca22chr1A_C_albicans_SC5314	32680	33318	-	639	C1_00190C_A	NA	%28orf19.6084%29%20Protein%20of%20unknown%20function%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced	0	0	0	99	96	81	1009	1087	1016	38	48	81	398	562	462	0	0	81	3509	3718	3995	1695	1789	1311	4253	3104	3857	1483	985	970	0	0	0	2182	2209	2089	1217	1955	1232	2327	2563	2396	1582	1467	1526
C1_00200C_A	Ca22chr1A_C_albicans_SC5314	34099	34446	-	348	C1_00200C_A	NA	%28orf19.6083%29%20Has%20domain%28s%29%20with%20predicted%20nucleic%20acid%20binding%2C%20nucleotide%20binding%20activity	0	0	0	121	145	126	219	198	225	86	108	112	131	161	136	0	0	126	270	305	314	274	292	219	299	289	323	263	227	224	0	0	0	224	201	223	189	309	159	224	216	241	164	158	190
C1_00210C_A	Ca22chr1A_C_albicans_SC5314	34525	35679	-	1155	C1_00210C_A	NA	%28orf19.6082%29%20Ortholog%28s%29%20have%20unfolded%20protein%20binding%20activity%2C%20role%20in%20protein%20folding%2C%20protein%20localization%20to%20cell%20surface%20and%20integral%20component%20of%20endoplasmic%20reticulum%20membrane%20localization	0	0	0	4710	4528	4139	2733	3249	2838	4224	3612	4181	2799	2805	2738	0	0	4139	2115	2396	2411	2756	2914	2828	2024	2016	1961	2504	2352	2289	0	0	0	1749	1845	1712	2089	3650	2340	1860	1697	1841	2095	1984	1916
C1_00220W_A	Ca22chr1A_C_albicans_SC5314	37851	39485	+	1635	C1_00220W_A	PHR2	%28orf19.6081%29%20Glycosidase%3B%20role%20in%20vaginal%20not%20systemic%20infection%20%28low%20pH%20not%20neutral%29%3B%20low%20pH%2C%20high%20iron%2C%20fluconazole%2C%20Hap43-induced%3B%20Rim101-repressed%20at%20pH8%3B%20rat%20catheter%20biofilm%20induced%3B%20Bcr1-repressed%20in%20RPMI%20a%2Fa%20biofilms	0	0	0	3609	3736	3280	2680	3016	2852	1914	1570	1750	1477	1591	1558	0	0	3280	2005	2312	2205	2456	2667	2728	878	918	931	895	909	949	0	0	0	1332	1471	1365	1120	1897	1187	1197	928	1094	811	740	766
C1_00230C_A	Ca22chr1A_C_albicans_SC5314	40484	41770	-	1287	C1_00230C_A	BFA1	%28orf19.6080%29%20Ortholog%28s%29%20have%20GDP-dissociation%20inhibitor%20activity%2C%20GTPase%20activator%20activity%2C%20role%20in%20mitotic%20spindle%20orientation%20checkpoint%20and%20Bfa1-Bub2%20complex%20localization	0	0	0	711	700	638	771	857	907	567	506	575	729	745	729	0	0	638	901	867	981	1001	1015	1003	956	918	843	831	776	759	0	0	0	749	923	621	763	1489	970	1031	852	1034	1072	1060	1082
C1_00240C_A	Ca22chr1A_C_albicans_SC5314	42100	42172	-	73	C1_00240C_A	tT%28AGU%296	%28tT%28AGU%296%29%20tRNA-Thr%2C%20predicted%20by%20tRNAscan-SE%3B%20AGU%20anticodon	0	0	0	5	1	2	1	0	0	0	0	0	2	0	1	0	0	2	1	2	2	2	3	0	5	0	1	0	1	3	0	0	0	3	3	1	0	3	2	1	5	3	0	0	1
C1_00270W_A	Ca22chr1A_C_albicans_SC5314	42605	43504	+	900	C1_00270W_A	NA	%28orf19.6079%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Gag%20region%20encoding%20nucleocapsid-like%20protein%3B%20repressed%20by%20ciclopirox%20olamine%3B%20filament%20induced%3B%20regulated%20by%20Rfg1%2C%20Tup1%3B%20overlaps%20orf19.6078.1	0	0	0	341	285	411	162	170	134	149	131	158	201	165	147	0	0	411	80	171	91	78	75	110	139	141	168	127	94	100	0	0	0	200	168	219	59	112	64	98	108	83	49	40	27
C1_00280C_A	Ca22chr1A_C_albicans_SC5314	43549	43679	-	131	C1_00280C_A	RFC52	%28orf19.6078.1%29%20Putative%20replication%20factor%20C%20complex%20protein%3B%20periodic%20mRNA%20expression%2C%20peak%20at%20cell-cycle%20G1%2FS%20phase%3B%20overlaps%20orf19.6079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00290W_A	Ca22chr1A_C_albicans_SC5314	43803	45764	+	1962	C1_00290W_A	POL93	%28orf19.6078%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Pol%20region%20of%20retrotransposons%20encoding%20reverse%20transcriptase%2C%20protease%20and%20integrase%3B%20downregulated%20in%20response%20to%20ciclopirox%20olamine%3B%20F-12%2FCO2%20early%20biofilm%20induced	0	0	0	4905	4462	5656	2228	2689	2889	2051	1823	2130	2511	2499	2402	0	0	5656	1681	2458	1963	2137	1932	2095	2699	2180	2293	2316	1753	1926	0	0	0	3422	2567	4397	843	1504	945	1514	1975	1449	591	640	605
C1_00310W_A	Ca22chr1A_C_albicans_SC5314	46803	48359	+	1557	C1_00310W_A	NA	%28orf19.6077%29%20Putative%20protein%20of%20unknown%20function%3B%20shows%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p	0	0	0	800	770	765	953	1044	917	611	505	556	936	985	928	0	0	765	991	1271	1127	1073	1224	1035	1574	1267	1584	1326	1147	1097	0	0	0	831	832	998	999	1818	1143	832	875	774	803	849	767
C1_00320W_A	Ca22chr1A_C_albicans_SC5314	48513	49298	+	786	C1_00320W_A	NA	%28orf19.6076%29%20Ortholog%28s%29%20have%20protein%20transporter%20activity%2C%20role%20in%20intracellular%20protein%20transport%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20endosome%2C%20retromer%2C%20cargo-selective%20complex%20localization	0	0	0	334	320	284	385	401	379	358	268	321	424	423	395	0	0	284	203	203	199	432	472	410	304	299	321	402	396	381	0	0	0	236	207	249	433	600	432	179	208	240	363	319	368
C1_00330C_A	Ca22chr1A_C_albicans_SC5314	49295	49843	-	549	C1_00330C_A	NA	%28orf19.6075%29%20Putative%20CCR4-Not%20complex%20transcription%20factor%3B%20ortholog%20of%20S.%20cerevisiae%20Cdc36%3B%20Hap43-repressed%20gene	0	0	0	518	449	410	400	406	454	468	406	480	453	436	467	0	0	410	426	476	475	439	524	387	512	506	592	496	461	464	0	0	0	676	625	807	534	884	603	610	685	659	511	456	549
C1_00340W_A	Ca22chr1A_C_albicans_SC5314	49997	50743	+	747	C1_00340W_A	HBR1	%28orf19.6074%29%20Essential%20protein%20involved%20in%20regulation%20of%20MTL%20gene%20expression%3B%20hemoglobin-regulated%20inhibitor%20of%20white-opaque%20switching%2C%20may%20affect%20survival%20in%20host%3B%20activator%20of%20MTLalpha1%20and%20MTLalpha2%3B%20transcript%20activated%20by%20hemoglobin	0	0	0	1595	1598	1343	1200	1297	1295	1535	1251	1503	1236	1263	1084	0	0	1343	1224	1250	1245	1395	1469	1400	1261	1298	1117	1299	1217	1270	0	0	0	1341	1462	1324	1482	2318	1538	1466	1395	1518	1373	1289	1318
C1_00350C_A	Ca22chr1A_C_albicans_SC5314	50806	51681	-	876	C1_00350C_A	HMX1	%28orf19.6073%29%20Heme%20oxygenase%3B%20utilization%20of%20hemin%20iron%3B%20transcript%20induced%20by%20heat%2C%20low%20iron%2C%20or%20hemin%3B%20repressed%20by%20Efg1%3B%20induced%20by%20low%20iron%3B%20upregulated%20by%20Rim101%20at%20pH%208%3B%20Hap43-induced%3B%20Spider%20and%20flow%20model%20biofilm%20induced	0	0	0	9804	9753	8667	6884	7429	6855	5961	5300	5604	5511	5404	4527	1	0	8667	14553	15739	14987	10131	10639	8920	10941	8587	10712	5493	5571	5475	0	0	0	3971	4343	3568	4253	6864	4588	9259	9001	9453	5960	5116	5600
C1_00360W_A	Ca22chr1A_C_albicans_SC5314	53099	54442	+	1344	C1_00360W_A	CDC13	%28orf19.6072%29%20Essential%20protein%20with%20similarity%20to%20S.%20cerevisiae%20Cdc13p%2C%20involved%20in%20telomere%20maintenance	0	0	0	386	376	369	337	343	367	313	305	344	424	422	366	0	0	369	259	241	269	385	368	414	276	282	267	402	374	408	0	0	0	294	252	250	375	687	411	404	382	378	314	317	312
C1_00370W_A	Ca22chr1A_C_albicans_SC5314	54558	54842	+	285	C1_00370W_A	NA	%28orf19.6072.1%29%20Protein%20of%20unknown%20function	0	0	0	98	73	65	90	89	94	67	72	106	91	87	77	0	0	65	118	109	120	100	112	108	153	127	153	100	115	116	0	0	0	118	94	100	105	158	86	138	144	117	95	104	113
C1_00380C_A	Ca22chr1A_C_albicans_SC5314	54837	57074	-	2238	C1_00380C_A	NAA25	%28orf19.6071%29%20Ortholog%28s%29%20have%20peptide%20alpha-N-acetyltransferase%20activity%20and%20role%20in%20N-terminal%20peptidyl-methionine%20acetylation%2C%20cytoskeleton%20organization%2C%20mitochondrion%20inheritance%2C%20regulation%20of%20actin%20cytoskeleton%20organization	0	0	0	817	749	743	737	816	812	727	654	761	856	930	757	0	0	743	1005	908	1090	913	968	861	953	1057	981	911	960	966	0	0	0	1100	1251	1015	1159	1937	1209	1416	1332	1359	1503	1362	1291
C1_00390W_A	Ca22chr1A_C_albicans_SC5314	59349	62552	+	3204	C1_00390W_A	ENA2	%28orf19.6070%29%20Putative%20sodium%20transporter%3B%20induced%20by%20ciclopirox%20olamine%3B%20alkaline%20induced%20by%20Rim101%3B%20repressed%20by%20high-level%20peroxide%20stress%3B%20induced%20in%20oral%20candidiasis%20clinical%20isolates%3B%20possibly%20essential%20gene%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced	0	1	0	1862	1860	1757	2663	2929	2453	2247	1791	1932	4271	4054	3674	0	0	1757	6633	6466	7128	3045	3460	3489	7912	8273	7692	6078	6533	5996	0	0	0	11849	14650	9119	7395	14795	9230	21148	16686	19121	12960	13119	12011
C1_00400W_A	Ca22chr1A_C_albicans_SC5314	63202	64350	+	1149	C1_00400W_A	SVF1	%28orf19.6068%29%20Putative%20survival%20factor%3B%20stationary%20phase%20enriched%20protein%3B%20fluconazole-induced%3B%20regulated%20by%20Gcn4p%3B%20repressed%20in%20response%20to%20amino%20acid%20starvation%20%283-AT%20treatment%29%3B%20fungal-specific%20%28no%20human%20or%20murine%20homolog%29	0	0	0	5091	4707	4528	3172	3474	3381	3810	3387	3907	2564	2796	2430	0	0	4528	3530	3831	3730	3139	3382	3214	2762	2893	2652	2424	2479	2497	0	0	1	2440	2685	2442	2543	4492	2847	2555	2445	2581	2595	2426	2428
C1_00410C_A	Ca22chr1A_C_albicans_SC5314	64696	66324	-	1629	C1_00410C_A	NA	%28orf19.6066%29%20Hexadecenal%20dehydrogenase%3B%20involved%20in%20the%20conversion%20of%20sphingosine%201-phosphate%20breakdown%20product%20hexadecenal%20to%20hexadecenoic%20acid%3B%20Spider%20biofilm%20induced	0	0	0	361	311	333	489	626	629	267	254	316	504	520	509	0	0	333	908	965	1023	1085	1147	822	889	730	884	768	737	720	0	0	0	1279	1356	1422	1432	2504	1541	996	1196	1063	1505	1370	1303
