"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_1_TR_3"	"CEC3672_1_FP_24"	"CEC3609_1_TR_6"	"NI_2_TR_3"	"CEC3609_2_FP_3"	"CEC3672_2_TR_24"	"CEC3672_1_TR_6"	"CEC3609_3_FP_3"	"CEC3672_2_TR_3"	"CEC3672_1_TR_24"	"CEC3609_1_FP_3"	"CEC3609_3_TR_24"	"CEC3672_3_FP_3"	"NI_3_TR_24"	"CEC3609_3_TR_6"	"CEC3672_3_TR_24"	"NI_1_TR_24"	"CEC3672_1_TR_3"	"NI_2_TR_24"	"NI_3_TR_3"	"CEC3672_3_FP_24"	"NI_2_TR_6"	"CEC3609_2_FP_24"	"CEC3609_2_TR_3"	"CEC3609_3_FP_24"	"CEC3672_2_FP_24"	"CEC3609_1_FP_24"	"CEC3672_3_TR_6"	"CEC3672_3_TR_3"	"CEC3609_3_FP_6"	"CEC3609_2_TR_6"	"CEC3609_2_FP_6"	"CEC3609_1_TR_24"	"CEC3609_1_FP_6"	"CEC3672_2_FP_6"	"CEC3672_2_TR_6"	"CEC3672_1_FP_3"	"CEC3672_1_FP_6"	"CEC3609_2_TR_24"	"NI_1_TR_6"	"NI_1_TR_3"	"CEC3672_3_FP_6"	"CEC3609_3_TR_3"	"CEC3672_2_FP_3"
"C1_00110W_A"	"Ca22chr1A_C_albicans_SC5314"	17338	18960	"+"	1623	"C1_00110W_A"	"CCT8"	"%28orf19.6099%29%20Chaperonin-containing%20T-complex%20subunit%3B%20role%20in%20hyphal%20morphogenesis%2C%20particularly%20starvation-induced%3B%20essential%3B%20expression%20in%20S.%20cerevisiae%20inhibits%20Ras2-mediated%20pathways%3B%20CCT8%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed"	3345	2095	1829	0	2531	4545	2752	2747	2783	2424	3198	1942	2571	0	1968	2771	0	2535	0	0	2178	0	1531	3319	1783	2150	1817	2867	2442	2040	2182	1879	2050	2162	2418	3060	2650	2588	2054	0	0	2395	3316	2799
"C1_00120C_A"	"Ca22chr1A_C_albicans_SC5314"	18948	19628	"-"	681	"C1_00120C_A"	"TRP1"	"%28orf19.6096%29%20Phosphoribosylanthranilate%20isomerase%3B%20tryptophan%20biosynthesis%3B%20expected%20unifunctional%2C%20unlike%20trifunctional%20enzyme%20of%20some%20other%20fungi%3B%20complements%20E.%20coli%20trpC%2C%20S.%20cerevisiae%20trp1%20mutant%3B%20CCT1%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed"	930	477	413	0	595	1056	738	681	817	604	778	448	686	0	452	636	0	683	0	0	576	0	380	861	483	469	386	656	681	474	545	404	501	466	693	837	646	597	433	0	0	531	843	719
"C1_00130C_A"	"Ca22chr1A_C_albicans_SC5314"	19615	21714	"-"	2100	"C1_00130C_A"	"VPS53"	"%28orf19.6094%29%20Ortholog%28s%29%20have%20role%20in%20Golgi%20to%20vacuole%20transport%2C%20cellular%20sphingolipid%20homeostasis%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20GARP%20complex%20localization"	951	832	588	0	641	1585	897	791	1063	788	812	544	912	0	646	988	0	871	0	0	893	0	563	981	682	769	705	940	824	792	720	714	615	842	921	919	874	889	652	0	0	761	880	977
"C1_00140W_A"	"Ca22chr1A_C_albicans_SC5314"	22270	25326	"+"	3057	"C1_00140W_A"	"KEL1"	"%28orf19.6092%29%20Kelch%20repeat%20domain-containing%20protein%3B%20localizes%20to%20sites%20of%20polarized%20growth%3B%20mutant%20colonies%20exhibit%20slightly%20decreased%20filamentation%20ratio%3B%20not%20required%20for%20buccal%20epithelial%20cell%20adherence%20or%20virulence%20in%20mice"	2048	1489	1581	0	1627	2619	1879	1923	2084	1489	1925	1131	1634	0	1610	1678	0	1667	0	0	1415	0	1159	2047	1388	1449	1259	1847	1950	1561	1638	1478	1160	1609	1566	2003	1692	1496	1241	0	0	1541	2018	1779
"C1_00150C_A"	"Ca22chr1A_C_albicans_SC5314"	25381	27249	"-"	1869	"C1_00150C_A"	"RIM8"	"%28orf19.6091%29%20Beta-arrestin-like%20protein%3B%20involved%20in%20pH%20response%3B%20required%20for%20pathogenesis%2C%20activation%20of%20Rim101%20and%20alkaline%20pH-induced%20hyphal%20growth%3B%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p%20negative%20feedback%20regulation%20target"	579	718	994	0	303	1057	782	333	625	542	336	654	394	0	1071	634	0	531	0	0	722	0	638	554	700	718	945	765	644	878	973	874	644	859	525	811	379	613	765	0	0	519	530	423
"C1_00160C_A"	"Ca22chr1A_C_albicans_SC5314"	28286	29488	"-"	1203	"C1_00160C_A"	NA	"%28orf19.6090%29%20Putative%20nucleolar%20protein%20with%20a%20predicted%20role%20in%20pre-rRNA%20processing%20and%20ribosome%20biogenesis%3B%20repressed%20by%20nitric%20oxide%3B%20required%20for%20flow%20model%20biofilm%20formation%3B%20Spider%20biofilm%20repressed"	10551	7088	5830	0	7569	13869	6661	7906	5084	8141	8979	5658	4226	0	6444	9009	0	4945	0	1	7305	0	5684	9606	6729	7074	6283	7390	4767	4170	6176	4776	5945	4156	5675	7362	5322	5749	6262	0	0	6116	8249	5238
"C1_00170W_A"	"Ca22chr1A_C_albicans_SC5314"	29804	31543	"+"	1740	"C1_00170W_A"	"LEU4"	"%28orf19.6086%29%20Putative%202-isopropylmalate%20synthase%3B%20regulated%20by%20Nrg1%2C%20Mig1%2C%20Tup1%2C%20Gcn4%3B%20induced%20by%20human%20whole%20blood%20or%20PMNs%3B%20macrophage%2Fpseudohyphal-repressed%20after%2016h%3B%20Spider%20biofilm%20repressed"	1336	524	145	0	238	1552	375	245	465	795	240	705	298	0	142	956	0	341	0	0	491	0	414	1158	452	448	451	354	376	105	124	121	758	118	376	303	330	395	580	0	0	410	1187	261
"C1_00180W_A"	"Ca22chr1A_C_albicans_SC5314"	31842	32444	"+"	603	"C1_00180W_A"	"RPL16A"	"%28orf19.6085%29%20Ribosomal%20protein%3B%20transposon%20mutation%20affects%20filamentous%20growth%3B%20repressed%20upon%20phagocytosis%20by%20murine%20macrophages%3B%20Hap43-induced%3B%20Spider%20biofilm%20repressed"	24568	17264	14016	1	24036	30549	21170	27042	19467	17866	27133	12503	17066	0	15671	19877	1	17339	0	0	16911	0	10910	23358	12156	15852	11191	20954	19720	12762	14679	15517	12773	12552	19812	21831	18908	19199	12480	0	2	20391	21387	19536
"C1_00190C_A"	"Ca22chr1A_C_albicans_SC5314"	32680	33318	"-"	639	"C1_00190C_A"	NA	"%28orf19.6084%29%20Protein%20of%20unknown%20function%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced"	99	1582	3509	0	48	1955	1695	81	1087	1217	38	2089	462	0	3995	1232	0	1009	0	0	1526	0	2563	96	2396	1467	2327	1311	1016	3857	3718	3104	2182	4253	985	1789	398	1483	2209	0	0	970	81	562
"C1_00200C_A"	"Ca22chr1A_C_albicans_SC5314"	34099	34446	"-"	348	"C1_00200C_A"	NA	"%28orf19.6083%29%20Has%20domain%28s%29%20with%20predicted%20nucleic%20acid%20binding%2C%20nucleotide%20binding%20activity"	121	164	270	0	108	309	274	112	198	189	86	223	136	0	314	159	0	219	0	0	190	0	216	145	241	158	224	219	225	323	305	289	224	299	227	292	131	263	201	0	0	224	126	161
"C1_00210C_A"	"Ca22chr1A_C_albicans_SC5314"	34525	35679	"-"	1155	"C1_00210C_A"	NA	"%28orf19.6082%29%20Ortholog%28s%29%20have%20unfolded%20protein%20binding%20activity%2C%20role%20in%20protein%20folding%2C%20protein%20localization%20to%20cell%20surface%20and%20integral%20component%20of%20endoplasmic%20reticulum%20membrane%20localization"	4710	2095	2115	0	3612	3650	2756	4181	3249	2089	4224	1712	2738	0	2411	2340	0	2733	0	0	1916	0	1697	4528	1841	1984	1860	2828	2838	1961	2396	2016	1749	2024	2352	2914	2799	2504	1845	0	0	2289	4139	2805
"C1_00220W_A"	"Ca22chr1A_C_albicans_SC5314"	37851	39485	"+"	1635	"C1_00220W_A"	"PHR2"	"%28orf19.6081%29%20Glycosidase%3B%20role%20in%20vaginal%20not%20systemic%20infection%20%28low%20pH%20not%20neutral%29%3B%20low%20pH%2C%20high%20iron%2C%20fluconazole%2C%20Hap43-induced%3B%20Rim101-repressed%20at%20pH8%3B%20rat%20catheter%20biofilm%20induced%3B%20Bcr1-repressed%20in%20RPMI%20a%2Fa%20biofilms"	3609	811	2005	0	1570	1897	2456	1750	3016	1120	1914	1365	1558	0	2205	1187	0	2680	0	0	766	0	928	3736	1094	740	1197	2728	2852	931	2312	918	1332	878	909	2667	1477	895	1471	0	0	949	3280	1591
"C1_00230C_A"	"Ca22chr1A_C_albicans_SC5314"	40484	41770	"-"	1287	"C1_00230C_A"	"BFA1"	"%28orf19.6080%29%20Ortholog%28s%29%20have%20GDP-dissociation%20inhibitor%20activity%2C%20GTPase%20activator%20activity%2C%20role%20in%20mitotic%20spindle%20orientation%20checkpoint%20and%20Bfa1-Bub2%20complex%20localization"	711	1072	901	0	506	1489	1001	575	857	763	567	621	729	0	981	970	0	771	0	0	1082	0	852	700	1034	1060	1031	1003	907	843	867	918	749	956	776	1015	729	831	923	0	0	759	638	745
"C1_00240C_A"	"Ca22chr1A_C_albicans_SC5314"	42100	42172	"-"	73	"C1_00240C_A"	"tT%28AGU%296"	"%28tT%28AGU%296%29%20tRNA-Thr%2C%20predicted%20by%20tRNAscan-SE%3B%20AGU%20anticodon"	5	0	1	0	0	3	2	0	0	0	0	1	1	0	2	2	0	1	0	0	1	0	5	1	3	0	1	0	0	1	2	0	3	5	1	3	2	0	3	0	0	3	2	0
"C1_00270W_A"	"Ca22chr1A_C_albicans_SC5314"	42605	43504	"+"	900	"C1_00270W_A"	NA	"%28orf19.6079%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Gag%20region%20encoding%20nucleocapsid-like%20protein%3B%20repressed%20by%20ciclopirox%20olamine%3B%20filament%20induced%3B%20regulated%20by%20Rfg1%2C%20Tup1%3B%20overlaps%20orf19.6078.1"	341	49	80	0	131	112	78	158	170	59	149	219	147	0	91	64	0	162	0	0	27	0	108	285	83	40	98	110	134	168	171	141	200	139	94	75	201	127	168	0	0	100	411	165
"C1_00280C_A"	"Ca22chr1A_C_albicans_SC5314"	43549	43679	"-"	131	"C1_00280C_A"	"RFC52"	"%28orf19.6078.1%29%20Putative%20replication%20factor%20C%20complex%20protein%3B%20periodic%20mRNA%20expression%2C%20peak%20at%20cell-cycle%20G1%2FS%20phase%3B%20overlaps%20orf19.6079"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1_00290W_A"	"Ca22chr1A_C_albicans_SC5314"	43803	45764	"+"	1962	"C1_00290W_A"	"POL93"	"%28orf19.6078%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Pol%20region%20of%20retrotransposons%20encoding%20reverse%20transcriptase%2C%20protease%20and%20integrase%3B%20downregulated%20in%20response%20to%20ciclopirox%20olamine%3B%20F-12%2FCO2%20early%20biofilm%20induced"	4905	591	1681	0	1823	1504	2137	2130	2689	843	2051	4397	2402	0	1963	945	0	2228	0	0	605	0	1975	4462	1449	640	1514	2095	2889	2293	2458	2180	3422	2699	1753	1932	2511	2316	2567	0	0	1926	5656	2499
"C1_00310W_A"	"Ca22chr1A_C_albicans_SC5314"	46803	48359	"+"	1557	"C1_00310W_A"	NA	"%28orf19.6077%29%20Putative%20protein%20of%20unknown%20function%3B%20shows%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p"	800	803	991	0	505	1818	1073	556	1044	999	611	998	928	0	1127	1143	0	953	0	0	767	0	875	770	774	849	832	1035	917	1584	1271	1267	831	1574	1147	1224	936	1326	832	0	0	1097	765	985
"C1_00320W_A"	"Ca22chr1A_C_albicans_SC5314"	48513	49298	"+"	786	"C1_00320W_A"	NA	"%28orf19.6076%29%20Ortholog%28s%29%20have%20protein%20transporter%20activity%2C%20role%20in%20intracellular%20protein%20transport%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20endosome%2C%20retromer%2C%20cargo-selective%20complex%20localization"	334	363	203	0	268	600	432	321	401	433	358	249	395	0	199	432	0	385	0	0	368	0	208	320	240	319	179	410	379	321	203	299	236	304	396	472	424	402	207	0	0	381	284	423
"C1_00330C_A"	"Ca22chr1A_C_albicans_SC5314"	49295	49843	"-"	549	"C1_00330C_A"	NA	"%28orf19.6075%29%20Putative%20CCR4-Not%20complex%20transcription%20factor%3B%20ortholog%20of%20S.%20cerevisiae%20Cdc36%3B%20Hap43-repressed%20gene"	518	511	426	0	406	884	439	480	406	534	468	807	467	0	475	603	0	400	0	0	549	0	685	449	659	456	610	387	454	592	476	506	676	512	461	524	453	496	625	0	0	464	410	436
"C1_00340W_A"	"Ca22chr1A_C_albicans_SC5314"	49997	50743	"+"	747	"C1_00340W_A"	"HBR1"	"%28orf19.6074%29%20Essential%20protein%20involved%20in%20regulation%20of%20MTL%20gene%20expression%3B%20hemoglobin-regulated%20inhibitor%20of%20white-opaque%20switching%2C%20may%20affect%20survival%20in%20host%3B%20activator%20of%20MTLalpha1%20and%20MTLalpha2%3B%20transcript%20activated%20by%20hemoglobin"	1595	1373	1224	0	1251	2318	1395	1503	1297	1482	1535	1324	1084	0	1245	1538	0	1200	0	0	1318	0	1395	1598	1518	1289	1466	1400	1295	1117	1250	1298	1341	1261	1217	1469	1236	1299	1462	0	0	1270	1343	1263
"C1_00350C_A"	"Ca22chr1A_C_albicans_SC5314"	50806	51681	"-"	876	"C1_00350C_A"	"HMX1"	"%28orf19.6073%29%20Heme%20oxygenase%3B%20utilization%20of%20hemin%20iron%3B%20transcript%20induced%20by%20heat%2C%20low%20iron%2C%20or%20hemin%3B%20repressed%20by%20Efg1%3B%20induced%20by%20low%20iron%3B%20upregulated%20by%20Rim101%20at%20pH%208%3B%20Hap43-induced%3B%20Spider%20and%20flow%20model%20biofilm%20induced"	9804	5960	14553	0	5300	6864	10131	5604	7429	4253	5961	3568	4527	0	14987	4588	0	6884	0	0	5600	0	9001	9753	9453	5116	9259	8920	6855	10712	15739	8587	3971	10941	5571	10639	5511	5493	4343	1	0	5475	8667	5404
"C1_00360W_A"	"Ca22chr1A_C_albicans_SC5314"	53099	54442	"+"	1344	"C1_00360W_A"	"CDC13"	"%28orf19.6072%29%20Essential%20protein%20with%20similarity%20to%20S.%20cerevisiae%20Cdc13p%2C%20involved%20in%20telomere%20maintenance"	386	314	259	0	305	687	385	344	343	375	313	250	366	0	269	411	0	337	0	0	312	0	382	376	378	317	404	414	367	267	241	282	294	276	374	368	424	402	252	0	0	408	369	422
"C1_00370W_A"	"Ca22chr1A_C_albicans_SC5314"	54558	54842	"+"	285	"C1_00370W_A"	NA	"%28orf19.6072.1%29%20Protein%20of%20unknown%20function"	98	95	118	0	72	158	100	106	89	105	67	100	77	0	120	86	0	90	0	0	113	0	144	73	117	104	138	108	94	153	109	127	118	153	115	112	91	100	94	0	0	116	65	87
"C1_00380C_A"	"Ca22chr1A_C_albicans_SC5314"	54837	57074	"-"	2238	"C1_00380C_A"	"NAA25"	"%28orf19.6071%29%20Ortholog%28s%29%20have%20peptide%20alpha-N-acetyltransferase%20activity%20and%20role%20in%20N-terminal%20peptidyl-methionine%20acetylation%2C%20cytoskeleton%20organization%2C%20mitochondrion%20inheritance%2C%20regulation%20of%20actin%20cytoskeleton%20organization"	817	1503	1005	0	654	1937	913	761	816	1159	727	1015	757	0	1090	1209	0	737	0	0	1291	0	1332	749	1359	1362	1416	861	812	981	908	1057	1100	953	960	968	856	911	1251	0	0	966	743	930
"C1_00390W_A"	"Ca22chr1A_C_albicans_SC5314"	59349	62552	"+"	3204	"C1_00390W_A"	"ENA2"	"%28orf19.6070%29%20Putative%20sodium%20transporter%3B%20induced%20by%20ciclopirox%20olamine%3B%20alkaline%20induced%20by%20Rim101%3B%20repressed%20by%20high-level%20peroxide%20stress%3B%20induced%20in%20oral%20candidiasis%20clinical%20isolates%3B%20possibly%20essential%20gene%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced"	1862	12960	6633	1	1791	14795	3045	1932	2929	7395	2247	9119	3674	0	7128	9230	0	2663	0	0	12011	0	16686	1860	19121	13119	21148	3489	2453	7692	6466	8273	11849	7912	6533	3460	4271	6078	14650	0	0	5996	1757	4054
"C1_00400W_A"	"Ca22chr1A_C_albicans_SC5314"	63202	64350	"+"	1149	"C1_00400W_A"	"SVF1"	"%28orf19.6068%29%20Putative%20survival%20factor%3B%20stationary%20phase%20enriched%20protein%3B%20fluconazole-induced%3B%20regulated%20by%20Gcn4p%3B%20repressed%20in%20response%20to%20amino%20acid%20starvation%20%283-AT%20treatment%29%3B%20fungal-specific%20%28no%20human%20or%20murine%20homolog%29"	5091	2595	3530	0	3387	4492	3139	3907	3474	2543	3810	2442	2430	1	3730	2847	0	3172	0	0	2428	0	2445	4707	2581	2426	2555	3214	3381	2652	3831	2893	2440	2762	2479	3382	2564	2424	2685	0	0	2497	4528	2796
"C1_00410C_A"	"Ca22chr1A_C_albicans_SC5314"	64696	66324	"-"	1629	"C1_00410C_A"	NA	"%28orf19.6066%29%20Hexadecenal%20dehydrogenase%3B%20involved%20in%20the%20conversion%20of%20sphingosine%201-phosphate%20breakdown%20product%20hexadecenal%20to%20hexadecenoic%20acid%3B%20Spider%20biofilm%20induced"	361	1505	908	0	254	2504	1085	316	626	1432	267	1422	509	0	1023	1541	0	489	0	0	1303	0	1196	311	1063	1370	996	822	629	884	965	730	1279	889	737	1147	504	768	1356	0	0	720	333	520
"C1_00420W_A"	"Ca22chr1A_C_albicans_SC5314"	67843	68814	"+"	972	"C1_00420W_A"	NA	"%28orf19.6065%29%20RNA%20polymerase%20II%20holoenzyme%2Fmediator%20subunit%3B%20regulated%20by%20Mig1%2C%20Tup1%3B%20amphotericin%20B%2C%20caspofungin%20repressed%3B%20protein%20present%20in%20exponential%20and%20stationary%20growth%20phase%20yeast%3B%20Hap43-repressed%3B%20Spider%20biofilm%20repressed"	1259	1541	1182	0	928	2036	1129	1165	1312	1236	1019	1204	1076	0	1252	1378	0	1089	0	0	1347	0	1452	1141	1459	1387	1245	989	1436	1215	1301	1044	1164	1251	929	1194	1111	990	1199	0	0	922	1144	1138
"C1_00430W_A"	"Ca22chr1A_C_albicans_SC5314"	69226	70902	"+"	1677	"C1_00430W_A"	NA	"%28orf19.6064%29%20Ortholog%28s%29%20have%20phosphatidylinositol-3%2C5-bisphosphate%20binding%2C%20phosphatidylinositol-3-phosphate%20binding%2C%20phosphatidylinositol-4-phosphate%20binding%2C%20ubiquitin%20binding%20activity"	764	1371	1110	0	510	1708	1026	657	931	1006	577	1110	749	0	1150	1077	0	792	0	0	1310	0	1362	748	1612	1297	1570	962	903	1233	1174	1148	1161	1241	784	966	698	878	1192	0	0	747	736	718
"C1_00440W_A"	"Ca22chr1A_C_albicans_SC5314"	71068	72581	"+"	1514	"C1_00440W_A"	"UBP6"	"%28orf19.6063%29%20Putative%20ubiquitin-specific%20protease%20of%20the%2026S%20proteasome%3B%20oxidative%20stress-induced%20via%20Cap1p"	2471	1696	1584	0	2093	3106	2041	2269	1954	1841	2250	1894	1837	0	1717	2155	0	1780	0	0	1743	0	1683	2416	1591	1704	1676	1897	2027	1844	1700	2027	1881	1936	1837	2006	2044	1945	1641	0	0	1857	2100	2145
"C1_00450C_A"	"Ca22chr1A_C_albicans_SC5314"	72741	73283	"-"	543	"C1_00450C_A"	NA	"%28orf19.6062.3%29%20Mitochondrial%20protein%3B%20component%20of%20the%20mitochondrial%20inner%20membrane%20organizing%20system%20%3B%20role%20in%20maintenance%20of%20crista%20junctions%20and%20inner%20membrane%20architecture%3B%20Spider%20biofilm%20repressed"	674	890	810	0	622	1779	1181	681	997	1034	627	838	891	0	753	1108	0	904	0	0	874	0	680	660	704	852	654	1097	1007	752	795	771	863	751	1010	1201	976	1062	814	0	0	1095	653	986
"C1_00460W_A"	"Ca22chr1A_C_albicans_SC5314"	73580	73900	"+"	321	"C1_00460W_A"	NA	"%28orf19.6062%29%20Putative%20TIM23%20translocase%20complex%20subunit%3B%20membrane-localized%3B%20Hap43-repressed"	876	990	1248	0	634	1728	1088	747	1156	961	835	1340	1071	1	1420	1154	0	1071	0	0	1076	0	1536	858	1306	1039	1411	1121	1091	1555	1404	1461	1498	1660	1041	1237	1047	1164	1311	0	0	1028	764	1104
