"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_2_TR_24"	"CEC3609_3_TR_3"	"NI_3_TR_3"	"CEC3609_3_TR_6"	"CEC3672_3_TR_3"	"CEC3609_1_TR_6"	"NI_2_TR_3"	"CEC3672_2_TR_24"	"CEC3609_2_FP_6"	"CEC3609_1_FP_6"	"CEC3672_1_FP_24"	"CEC3609_2_FP_3"	"NI_2_TR_6"	"CEC3609_1_TR_24"	"CEC3672_1_TR_3"	"CEC3609_2_TR_6"	"NI_1_TR_24"	"CEC3672_1_TR_6"	"CEC3672_1_FP_3"	"CEC3672_3_TR_6"	"CEC3672_2_TR_3"	"CEC3609_3_FP_3"	"CEC3672_3_FP_3"	"CEC3609_2_TR_3"	"CEC3672_1_FP_6"	"NI_2_TR_24"	"CEC3672_2_FP_3"	"CEC3609_1_TR_3"	"CEC3672_2_FP_24"	"CEC3672_2_FP_6"	"CEC3609_2_FP_24"	"CEC3609_1_FP_3"	"CEC3609_1_FP_24"	"CEC3672_1_TR_24"	"CEC3672_3_TR_24"	"NI_1_TR_6"	"NI_1_TR_3"	"CEC3672_3_FP_24"	"CEC3609_3_FP_6"	"CEC3672_2_TR_6"	"CEC3609_3_FP_24"	"CEC3672_3_FP_6"	"CEC3609_3_TR_24"	"NI_3_TR_24"
"C1_00120C_A"	"Ca22chr1A_C_albicans_SC5314"	18948	19628	"-"	681	"C1_00120C_A"	"TRP1"	"%28orf19.6096%29%20Phosphoribosylanthranilate%20isomerase%3B%20tryptophan%20biosynthesis%3B%20expected%20unifunctional%2C%20unlike%20trifunctional%20enzyme%20of%20some%20other%20fungi%3B%20complements%20E.%20coli%20trpC%2C%20S.%20cerevisiae%20trp1%20mutant%3B%20CCT1%20and%20TRP1%20overlap%3B%20Spider%20biofilm%20repressed"	433	843	0	452	681	413	0	1056	404	466	477	595	0	501	683	545	0	738	646	656	817	681	686	861	597	0	719	930	469	693	380	778	386	604	636	0	0	576	474	837	483	531	448	0
"C1_00130C_A"	"Ca22chr1A_C_albicans_SC5314"	19615	21714	"-"	2100	"C1_00130C_A"	"VPS53"	"%28orf19.6094%29%20Ortholog%28s%29%20have%20role%20in%20Golgi%20to%20vacuole%20transport%2C%20cellular%20sphingolipid%20homeostasis%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20GARP%20complex%20localization"	652	880	0	646	824	588	0	1585	714	842	832	641	0	615	871	720	0	897	874	940	1063	791	912	981	889	0	977	951	769	921	563	812	705	788	988	0	0	893	792	919	682	761	544	0
"C1_00140W_A"	"Ca22chr1A_C_albicans_SC5314"	22270	25326	"+"	3057	"C1_00140W_A"	"KEL1"	"%28orf19.6092%29%20Kelch%20repeat%20domain-containing%20protein%3B%20localizes%20to%20sites%20of%20polarized%20growth%3B%20mutant%20colonies%20exhibit%20slightly%20decreased%20filamentation%20ratio%3B%20not%20required%20for%20buccal%20epithelial%20cell%20adherence%20or%20virulence%20in%20mice"	1241	2018	0	1610	1950	1581	0	2619	1478	1609	1489	1627	0	1160	1667	1638	0	1879	1692	1847	2084	1923	1634	2047	1496	0	1779	2048	1449	1566	1159	1925	1259	1489	1678	0	0	1415	1561	2003	1388	1541	1131	0
"C1_00150C_A"	"Ca22chr1A_C_albicans_SC5314"	25381	27249	"-"	1869	"C1_00150C_A"	"RIM8"	"%28orf19.6091%29%20Beta-arrestin-like%20protein%3B%20involved%20in%20pH%20response%3B%20required%20for%20pathogenesis%2C%20activation%20of%20Rim101%20and%20alkaline%20pH-induced%20hyphal%20growth%3B%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p%20negative%20feedback%20regulation%20target"	765	530	0	1071	644	994	0	1057	874	859	718	303	0	644	531	973	0	782	379	765	625	333	394	554	613	0	423	579	718	525	638	336	945	542	634	0	0	722	878	811	700	519	654	0
"C1_00160C_A"	"Ca22chr1A_C_albicans_SC5314"	28286	29488	"-"	1203	"C1_00160C_A"	NA	"%28orf19.6090%29%20Putative%20nucleolar%20protein%20with%20a%20predicted%20role%20in%20pre-rRNA%20processing%20and%20ribosome%20biogenesis%3B%20repressed%20by%20nitric%20oxide%3B%20required%20for%20flow%20model%20biofilm%20formation%3B%20Spider%20biofilm%20repressed"	6262	8249	1	6444	4767	5830	0	13869	4776	4156	7088	7569	0	5945	4945	6176	0	6661	5322	7390	5084	7906	4226	9606	5749	0	5238	10551	7074	5675	5684	8979	6283	8141	9009	0	0	7305	4170	7362	6729	6116	5658	0
"C1_00170W_A"	"Ca22chr1A_C_albicans_SC5314"	29804	31543	"+"	1740	"C1_00170W_A"	"LEU4"	"%28orf19.6086%29%20Putative%202-isopropylmalate%20synthase%3B%20regulated%20by%20Nrg1%2C%20Mig1%2C%20Tup1%2C%20Gcn4%3B%20induced%20by%20human%20whole%20blood%20or%20PMNs%3B%20macrophage%2Fpseudohyphal-repressed%20after%2016h%3B%20Spider%20biofilm%20repressed"	580	1187	0	142	376	145	0	1552	121	118	524	238	0	758	341	124	0	375	330	354	465	245	298	1158	395	0	261	1336	448	376	414	240	451	795	956	0	0	491	105	303	452	410	705	0
"C1_00180W_A"	"Ca22chr1A_C_albicans_SC5314"	31842	32444	"+"	603	"C1_00180W_A"	"RPL16A"	"%28orf19.6085%29%20Ribosomal%20protein%3B%20transposon%20mutation%20affects%20filamentous%20growth%3B%20repressed%20upon%20phagocytosis%20by%20murine%20macrophages%3B%20Hap43-induced%3B%20Spider%20biofilm%20repressed"	12480	21387	0	15671	19720	14016	1	30549	15517	12552	17264	24036	0	12773	17339	14679	1	21170	18908	20954	19467	27042	17066	23358	19199	0	19536	24568	15852	19812	10910	27133	11191	17866	19877	0	2	16911	12762	21831	12156	20391	12503	0
"C1_00190C_A"	"Ca22chr1A_C_albicans_SC5314"	32680	33318	"-"	639	"C1_00190C_A"	NA	"%28orf19.6084%29%20Protein%20of%20unknown%20function%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced"	2209	81	0	3995	1016	3509	0	1955	3104	4253	1582	48	0	2182	1009	3718	0	1695	398	1311	1087	81	462	96	1483	0	562	99	1467	985	2563	38	2327	1217	1232	0	0	1526	3857	1789	2396	970	2089	0
"C1_00200C_A"	"Ca22chr1A_C_albicans_SC5314"	34099	34446	"-"	348	"C1_00200C_A"	NA	"%28orf19.6083%29%20Has%20domain%28s%29%20with%20predicted%20nucleic%20acid%20binding%2C%20nucleotide%20binding%20activity"	201	126	0	314	225	270	0	309	289	299	164	108	0	224	219	305	0	274	131	219	198	112	136	145	263	0	161	121	158	227	216	86	224	189	159	0	0	190	323	292	241	224	223	0
"C1_00210C_A"	"Ca22chr1A_C_albicans_SC5314"	34525	35679	"-"	1155	"C1_00210C_A"	NA	"%28orf19.6082%29%20Ortholog%28s%29%20have%20unfolded%20protein%20binding%20activity%2C%20role%20in%20protein%20folding%2C%20protein%20localization%20to%20cell%20surface%20and%20integral%20component%20of%20endoplasmic%20reticulum%20membrane%20localization"	1845	4139	0	2411	2838	2115	0	3650	2016	2024	2095	3612	0	1749	2733	2396	0	2756	2799	2828	3249	4181	2738	4528	2504	0	2805	4710	1984	2352	1697	4224	1860	2089	2340	0	0	1916	1961	2914	1841	2289	1712	0
"C1_00220W_A"	"Ca22chr1A_C_albicans_SC5314"	37851	39485	"+"	1635	"C1_00220W_A"	"PHR2"	"%28orf19.6081%29%20Glycosidase%3B%20role%20in%20vaginal%20not%20systemic%20infection%20%28low%20pH%20not%20neutral%29%3B%20low%20pH%2C%20high%20iron%2C%20fluconazole%2C%20Hap43-induced%3B%20Rim101-repressed%20at%20pH8%3B%20rat%20catheter%20biofilm%20induced%3B%20Bcr1-repressed%20in%20RPMI%20a%2Fa%20biofilms"	1471	3280	0	2205	2852	2005	0	1897	918	878	811	1570	0	1332	2680	2312	0	2456	1477	2728	3016	1750	1558	3736	895	0	1591	3609	740	909	928	1914	1197	1120	1187	0	0	766	931	2667	1094	949	1365	0
"C1_00230C_A"	"Ca22chr1A_C_albicans_SC5314"	40484	41770	"-"	1287	"C1_00230C_A"	"BFA1"	"%28orf19.6080%29%20Ortholog%28s%29%20have%20GDP-dissociation%20inhibitor%20activity%2C%20GTPase%20activator%20activity%2C%20role%20in%20mitotic%20spindle%20orientation%20checkpoint%20and%20Bfa1-Bub2%20complex%20localization"	923	638	0	981	907	901	0	1489	918	956	1072	506	0	749	771	867	0	1001	729	1003	857	575	729	700	831	0	745	711	1060	776	852	567	1031	763	970	0	0	1082	843	1015	1034	759	621	0
"C1_00240C_A"	"Ca22chr1A_C_albicans_SC5314"	42100	42172	"-"	73	"C1_00240C_A"	"tT%28AGU%296"	"%28tT%28AGU%296%29%20tRNA-Thr%2C%20predicted%20by%20tRNAscan-SE%3B%20AGU%20anticodon"	3	2	0	2	0	1	0	3	0	5	0	0	0	3	1	2	0	2	2	0	0	0	1	1	0	0	0	5	0	1	5	0	1	0	2	0	0	1	1	3	3	3	1	0
"C1_00270W_A"	"Ca22chr1A_C_albicans_SC5314"	42605	43504	"+"	900	"C1_00270W_A"	NA	"%28orf19.6079%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Gag%20region%20encoding%20nucleocapsid-like%20protein%3B%20repressed%20by%20ciclopirox%20olamine%3B%20filament%20induced%3B%20regulated%20by%20Rfg1%2C%20Tup1%3B%20overlaps%20orf19.6078.1"	168	411	0	91	134	80	0	112	141	139	49	131	0	200	162	171	0	78	201	110	170	158	147	285	127	0	165	341	40	94	108	149	98	59	64	0	0	27	168	75	83	100	219	0
"C1_00280C_A"	"Ca22chr1A_C_albicans_SC5314"	43549	43679	"-"	131	"C1_00280C_A"	"RFC52"	"%28orf19.6078.1%29%20Putative%20replication%20factor%20C%20complex%20protein%3B%20periodic%20mRNA%20expression%2C%20peak%20at%20cell-cycle%20G1%2FS%20phase%3B%20overlaps%20orf19.6079"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1_00290W_A"	"Ca22chr1A_C_albicans_SC5314"	43803	45764	"+"	1962	"C1_00290W_A"	"POL93"	"%28orf19.6078%29%20Predicted%20ORF%20in%20retrotransposon%20Tca8%20with%20similarity%20to%20the%20Pol%20region%20of%20retrotransposons%20encoding%20reverse%20transcriptase%2C%20protease%20and%20integrase%3B%20downregulated%20in%20response%20to%20ciclopirox%20olamine%3B%20F-12%2FCO2%20early%20biofilm%20induced"	2567	5656	0	1963	2889	1681	0	1504	2180	2699	591	1823	0	3422	2228	2458	0	2137	2511	2095	2689	2130	2402	4462	2316	0	2499	4905	640	1753	1975	2051	1514	843	945	0	0	605	2293	1932	1449	1926	4397	0
"C1_00310W_A"	"Ca22chr1A_C_albicans_SC5314"	46803	48359	"+"	1557	"C1_00310W_A"	NA	"%28orf19.6077%29%20Putative%20protein%20of%20unknown%20function%3B%20shows%20colony%20morphology-related%20gene%20regulation%20by%20Ssn6p"	832	765	0	1127	917	991	0	1818	1267	1574	803	505	0	831	953	1271	0	1073	936	1035	1044	556	928	770	1326	0	985	800	849	1147	875	611	832	999	1143	0	0	767	1584	1224	774	1097	998	0
"C1_00320W_A"	"Ca22chr1A_C_albicans_SC5314"	48513	49298	"+"	786	"C1_00320W_A"	NA	"%28orf19.6076%29%20Ortholog%28s%29%20have%20protein%20transporter%20activity%2C%20role%20in%20intracellular%20protein%20transport%2C%20retrograde%20transport%2C%20endosome%20to%20Golgi%20and%20endosome%2C%20retromer%2C%20cargo-selective%20complex%20localization"	207	284	0	199	379	203	0	600	299	304	363	268	0	236	385	203	0	432	424	410	401	321	395	320	402	0	423	334	319	396	208	358	179	433	432	0	0	368	321	472	240	381	249	0
"C1_00330C_A"	"Ca22chr1A_C_albicans_SC5314"	49295	49843	"-"	549	"C1_00330C_A"	NA	"%28orf19.6075%29%20Putative%20CCR4-Not%20complex%20transcription%20factor%3B%20ortholog%20of%20S.%20cerevisiae%20Cdc36%3B%20Hap43-repressed%20gene"	625	410	0	475	454	426	0	884	506	512	511	406	0	676	400	476	0	439	453	387	406	480	467	449	496	0	436	518	456	461	685	468	610	534	603	0	0	549	592	524	659	464	807	0
"C1_00340W_A"	"Ca22chr1A_C_albicans_SC5314"	49997	50743	"+"	747	"C1_00340W_A"	"HBR1"	"%28orf19.6074%29%20Essential%20protein%20involved%20in%20regulation%20of%20MTL%20gene%20expression%3B%20hemoglobin-regulated%20inhibitor%20of%20white-opaque%20switching%2C%20may%20affect%20survival%20in%20host%3B%20activator%20of%20MTLalpha1%20and%20MTLalpha2%3B%20transcript%20activated%20by%20hemoglobin"	1462	1343	0	1245	1295	1224	0	2318	1298	1261	1373	1251	0	1341	1200	1250	0	1395	1236	1400	1297	1503	1084	1598	1299	0	1263	1595	1289	1217	1395	1535	1466	1482	1538	0	0	1318	1117	1469	1518	1270	1324	0
"C1_00350C_A"	"Ca22chr1A_C_albicans_SC5314"	50806	51681	"-"	876	"C1_00350C_A"	"HMX1"	"%28orf19.6073%29%20Heme%20oxygenase%3B%20utilization%20of%20hemin%20iron%3B%20transcript%20induced%20by%20heat%2C%20low%20iron%2C%20or%20hemin%3B%20repressed%20by%20Efg1%3B%20induced%20by%20low%20iron%3B%20upregulated%20by%20Rim101%20at%20pH%208%3B%20Hap43-induced%3B%20Spider%20and%20flow%20model%20biofilm%20induced"	4343	8667	0	14987	6855	14553	0	6864	8587	10941	5960	5300	0	3971	6884	15739	0	10131	5511	8920	7429	5604	4527	9753	5493	0	5404	9804	5116	5571	9001	5961	9259	4253	4588	1	0	5600	10712	10639	9453	5475	3568	0
"C1_00360W_A"	"Ca22chr1A_C_albicans_SC5314"	53099	54442	"+"	1344	"C1_00360W_A"	"CDC13"	"%28orf19.6072%29%20Essential%20protein%20with%20similarity%20to%20S.%20cerevisiae%20Cdc13p%2C%20involved%20in%20telomere%20maintenance"	252	369	0	269	367	259	0	687	282	276	314	305	0	294	337	241	0	385	424	414	343	344	366	376	402	0	422	386	317	374	382	313	404	375	411	0	0	312	267	368	378	408	250	0
"C1_00370W_A"	"Ca22chr1A_C_albicans_SC5314"	54558	54842	"+"	285	"C1_00370W_A"	NA	"%28orf19.6072.1%29%20Protein%20of%20unknown%20function"	94	65	0	120	94	118	0	158	127	153	95	72	0	118	90	109	0	100	91	108	89	106	77	73	100	0	87	98	104	115	144	67	138	105	86	0	0	113	153	112	117	116	100	0
"C1_00380C_A"	"Ca22chr1A_C_albicans_SC5314"	54837	57074	"-"	2238	"C1_00380C_A"	"NAA25"	"%28orf19.6071%29%20Ortholog%28s%29%20have%20peptide%20alpha-N-acetyltransferase%20activity%20and%20role%20in%20N-terminal%20peptidyl-methionine%20acetylation%2C%20cytoskeleton%20organization%2C%20mitochondrion%20inheritance%2C%20regulation%20of%20actin%20cytoskeleton%20organization"	1251	743	0	1090	812	1005	0	1937	1057	953	1503	654	0	1100	737	908	0	913	856	861	816	761	757	749	911	0	930	817	1362	960	1332	727	1416	1159	1209	0	0	1291	981	968	1359	966	1015	0
"C1_00390W_A"	"Ca22chr1A_C_albicans_SC5314"	59349	62552	"+"	3204	"C1_00390W_A"	"ENA2"	"%28orf19.6070%29%20Putative%20sodium%20transporter%3B%20induced%20by%20ciclopirox%20olamine%3B%20alkaline%20induced%20by%20Rim101%3B%20repressed%20by%20high-level%20peroxide%20stress%3B%20induced%20in%20oral%20candidiasis%20clinical%20isolates%3B%20possibly%20essential%20gene%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced"	14650	1757	0	7128	2453	6633	1	14795	8273	7912	12960	1791	0	11849	2663	6466	0	3045	4271	3489	2929	1932	3674	1860	6078	0	4054	1862	13119	6533	16686	2247	21148	7395	9230	0	0	12011	7692	3460	19121	5996	9119	0
"C1_00400W_A"	"Ca22chr1A_C_albicans_SC5314"	63202	64350	"+"	1149	"C1_00400W_A"	"SVF1"	"%28orf19.6068%29%20Putative%20survival%20factor%3B%20stationary%20phase%20enriched%20protein%3B%20fluconazole-induced%3B%20regulated%20by%20Gcn4p%3B%20repressed%20in%20response%20to%20amino%20acid%20starvation%20%283-AT%20treatment%29%3B%20fungal-specific%20%28no%20human%20or%20murine%20homolog%29"	2685	4528	0	3730	3381	3530	0	4492	2893	2762	2595	3387	0	2440	3172	3831	0	3139	2564	3214	3474	3907	2430	4707	2424	0	2796	5091	2426	2479	2445	3810	2555	2543	2847	0	0	2428	2652	3382	2581	2497	2442	1
"C1_00410C_A"	"Ca22chr1A_C_albicans_SC5314"	64696	66324	"-"	1629	"C1_00410C_A"	NA	"%28orf19.6066%29%20Hexadecenal%20dehydrogenase%3B%20involved%20in%20the%20conversion%20of%20sphingosine%201-phosphate%20breakdown%20product%20hexadecenal%20to%20hexadecenoic%20acid%3B%20Spider%20biofilm%20induced"	1356	333	0	1023	629	908	0	2504	730	889	1505	254	0	1279	489	965	0	1085	504	822	626	316	509	311	768	0	520	361	1370	737	1196	267	996	1432	1541	0	0	1303	884	1147	1063	720	1422	0
"C1_00420W_A"	"Ca22chr1A_C_albicans_SC5314"	67843	68814	"+"	972	"C1_00420W_A"	NA	"%28orf19.6065%29%20RNA%20polymerase%20II%20holoenzyme%2Fmediator%20subunit%3B%20regulated%20by%20Mig1%2C%20Tup1%3B%20amphotericin%20B%2C%20caspofungin%20repressed%3B%20protein%20present%20in%20exponential%20and%20stationary%20growth%20phase%20yeast%3B%20Hap43-repressed%3B%20Spider%20biofilm%20repressed"	1199	1144	0	1252	1436	1182	0	2036	1044	1251	1541	928	0	1164	1089	1301	0	1129	1111	989	1312	1165	1076	1141	990	0	1138	1259	1387	929	1452	1019	1245	1236	1378	0	0	1347	1215	1194	1459	922	1204	0
"C1_00430W_A"	"Ca22chr1A_C_albicans_SC5314"	69226	70902	"+"	1677	"C1_00430W_A"	NA	"%28orf19.6064%29%20Ortholog%28s%29%20have%20phosphatidylinositol-3%2C5-bisphosphate%20binding%2C%20phosphatidylinositol-3-phosphate%20binding%2C%20phosphatidylinositol-4-phosphate%20binding%2C%20ubiquitin%20binding%20activity"	1192	736	0	1150	903	1110	0	1708	1148	1241	1371	510	0	1161	792	1174	0	1026	698	962	931	657	749	748	878	0	718	764	1297	784	1362	577	1570	1006	1077	0	0	1310	1233	966	1612	747	1110	0
"C1_00440W_A"	"Ca22chr1A_C_albicans_SC5314"	71068	72581	"+"	1514	"C1_00440W_A"	"UBP6"	"%28orf19.6063%29%20Putative%20ubiquitin-specific%20protease%20of%20the%2026S%20proteasome%3B%20oxidative%20stress-induced%20via%20Cap1p"	1641	2100	0	1717	2027	1584	0	3106	2027	1936	1696	2093	0	1881	1780	1700	0	2041	2044	1897	1954	2269	1837	2416	1945	0	2145	2471	1704	1837	1683	2250	1676	1841	2155	0	0	1743	1844	2006	1591	1857	1894	0
"C1_00450C_A"	"Ca22chr1A_C_albicans_SC5314"	72741	73283	"-"	543	"C1_00450C_A"	NA	"%28orf19.6062.3%29%20Mitochondrial%20protein%3B%20component%20of%20the%20mitochondrial%20inner%20membrane%20organizing%20system%20%3B%20role%20in%20maintenance%20of%20crista%20junctions%20and%20inner%20membrane%20architecture%3B%20Spider%20biofilm%20repressed"	814	653	0	753	1007	810	0	1779	771	751	890	622	0	863	904	795	0	1181	976	1097	997	681	891	660	1062	0	986	674	852	1010	680	627	654	1034	1108	0	0	874	752	1201	704	1095	838	0
"C1_00460W_A"	"Ca22chr1A_C_albicans_SC5314"	73580	73900	"+"	321	"C1_00460W_A"	NA	"%28orf19.6062%29%20Putative%20TIM23%20translocase%20complex%20subunit%3B%20membrane-localized%3B%20Hap43-repressed"	1311	764	0	1420	1091	1248	0	1728	1461	1660	990	634	0	1498	1071	1404	0	1088	1047	1121	1156	747	1071	858	1164	0	1104	876	1039	1041	1536	835	1411	961	1154	0	0	1076	1555	1237	1306	1028	1340	1
